x_cm,y_cm,orientation_deg
-17.5,34.64,58.23
-18.17,35.15,60.01
-17.22,34.96,57.96
-16.51,34.36,55.45
-17.81,34.15,58.72
-16.52,34.3,56.62
-18.02,34.02,59.33
-17.68,34.97,58.47
-16.23,34.33,55.18
-16.66,34.61,56.72
-15.96,35.16,60.92
-15.74,34.02,55.09
-17.02,34.71,57.96
-16.72,35.02,57.27
-15.49,34.56,54.51
-17.1,34.79,58.23
-15.92,34.94,55.28
-16.58,35.01,57.17
-16.13,34.76,55.87
-17.49,34.66,58.38
