motor_1_path_rad, motor_2_path_rad, time_motor_1, time_motor_2
0, 0, 1586565175.722369, 1586565175.724259
0.0, 0.0, 1586565175.745373, 1586565175.747647
0.03490658503988659, 0.03490658503988659, 1586565175.767669, 1586565175.769948
0.1221730476396031, 0.1221730476396031, 1586565175.793577, 1586565175.797323
0.2617993877991494, 0.2617993877991494, 1586565175.805226, 1586565175.80786
0.3490658503988659, 0.3490658503988659, 1586565175.815709, 1586565175.817837
0.4363323129985824, 0.4188790204786391, 1586565175.825693, 1586565175.827837
0.5061454830783556, 0.4886921905584122, 1586565175.835306, 1586565175.837525
0.5585053606381854, 0.5410520681182422, 1586565175.844739, 1586565175.84776
0.6283185307179586, 0.6108652381980153, 1586565175.855291, 1586565175.857505
0.6981317007977318, 0.6806784082777884, 1586565175.865132, 1586565175.867293
0.7853981633974483, 0.767944870877505, 1586565175.879979, 1586565175.882978
0.9075712110370514, 0.8901179185171079, 1586565175.890018, 1586565175.893052
0.9948376736367678, 0.9773843811168245, 1586565175.902033, 1586565175.904126
1.064650843716541, 1.064650843716541, 1586565175.912291, 1586565175.914313
1.169370598836201, 1.151917306316258, 1586565175.92231, 1586565175.924364
1.256637061435917, 1.239183768915974, 1586565175.932347, 1586565175.934674
1.32645023151569, 1.32645023151569, 1586565175.942102, 1586565175.9441
1.396263401595464, 1.413716694115407, 1586565175.953146, 1586565175.955173
1.500983156715123, 1.48352986419518, 1586565175.964094, 1586565175.967208
1.605702911834783, 1.58824961931484, 1586565175.974333, 1586565175.976678
1.675516081914556, 1.675516081914556, 1586565175.98483, 1586565175.986985
1.745329251994329, 1.745329251994329, 1586565175.994367, 1586565175.996409
1.832595714594046, 1.815142422074103, 1586565176.004911, 1586565176.007086
1.902408884673819, 1.902408884673819, 1586565176.014298, 1586565176.016342
1.989675347273536, 1.972222054753592, 1586565176.023898, 1586565176.025931
2.059488517353309, 2.042035224833366, 1586565176.035258, 1586565176.037411
2.129301687433082, 2.111848394913139, 1586565176.04505, 1586565176.047227
2.199114857512855, 2.181661564992912, 1586565176.055298, 1586565176.057509
2.268928027592628, 2.251474735072685, 1586565176.064769, 1586565176.066815
2.338741197672401, 2.321287905152458, 1586565176.074082, 1586565176.076141
2.408554367752175, 2.391101075232231, 1586565176.084041, 1586565176.086191
2.478367537831948, 2.478367537831948, 1586565176.093804, 1586565176.095963
2.548180707911721, 2.548180707911721, 1586565176.104999, 1586565176.107195
2.635447170511438, 2.617993877991494, 1586565176.114282, 1586565176.116353
2.705260340591211, 2.687807048071268, 1586565176.124305, 1586565176.126677
2.775073510670984, 2.757620218151041, 1586565176.133962, 1586565176.135987
2.844886680750757, 2.827433388230814, 1586565176.143609, 1586565176.145751
2.914699850830531, 2.897246558310587, 1586565176.154237, 1586565176.156338
2.984513020910303, 2.96705972839036, 1586565176.164094, 1586565176.166282
3.054326190990076, 3.054326190990076, 1586565176.173865, 1586565176.175928
3.141592653589793, 3.12413936106985, 1586565176.183619, 1586565176.185839
3.211405823669566, 3.193952531149623, 1586565176.193547, 1586565176.195722
3.28121899374934, 3.263765701229397, 1586565176.204281, 1586565176.206398
3.351032163829113, 3.333578871309169, 1586565176.214071, 1586565176.216144
3.420845333908886, 3.420845333908886, 1586565176.223986, 1586565176.226042
3.490658503988659, 3.490658503988659, 1586565176.233807, 1586565176.235907
3.560471674068432, 3.560471674068432, 1586565176.243667, 1586565176.24588
3.630284844148206, 3.630284844148206, 1586565176.255027, 1586565176.257236
3.717551306747922, 3.717551306747922, 1586565176.264382, 1586565176.26674
3.787364476827695, 3.787364476827695, 1586565176.277768, 1586565176.280287
3.892084231947355, 3.892084231947355, 1586565176.28785, 1586565176.290233
3.961897402027128, 3.961897402027128, 1586565176.297745, 1586565176.300267
4.031710572106902, 4.031710572106902, 1586565176.308855, 1586565176.311675
4.118977034706617, 4.101523742186674, 1586565176.318354, 1586565176.321057
4.188790204786391, 4.188790204786391, 1586565176.3279, 1586565176.330075
4.258603374866164, 4.258603374866164, 1586565176.337431, 1586565176.33976
4.310963252425994, 4.328416544945937, 1586565176.347199, 1586565176.349187
4.380776422505767, 4.380776422505767, 1586565176.356926, 1586565176.358947
4.468042885105484, 4.468042885105484, 1586565176.365723, 1586565176.367843
4.537856055185257, 4.537856055185257, 1586565176.375361, 1586565176.377562
4.590215932745087, 4.60766922526503, 1586565176.38521, 1586565176.387354
4.660029102824859, 4.660029102824859, 1586565176.394797, 1586565176.396905
4.747295565424577, 4.747295565424577, 1586565176.404285, 1586565176.407814
4.817108735504349, 4.834562028024293, 1586565176.415323, 1586565176.417623
4.886921905584122, 4.904375198104066, 1586565176.425563, 1586565176.427669
4.97418836818384, 4.97418836818384, 1586565176.435237, 1586565176.43738
5.044001538263612, 5.044001538263612, 1586565176.444345, 1586565176.446375
5.113814708343385, 5.113814708343385, 1586565176.453852, 1586565176.457183
5.183627878423159, 5.183627878423159, 1586565176.46479, 1586565176.466958
5.253441048502932, 5.253441048502932, 1586565176.474103, 1586565176.476119
5.340707511102648, 5.340707511102648, 1586565176.48399, 1586565176.486008
5.410520681182422, 5.410520681182422, 1586565176.493567, 1586565176.495736
5.480333851262194, 5.480333851262194, 1586565176.503418, 1586565176.505601
5.550147021341968, 5.550147021341968, 1586565176.51313, 1586565176.51516
5.619960191421741, 5.602506898901797, 1586565176.522785, 1586565176.524861
5.689773361501514, 5.689773361501514, 1586565176.533836, 1586565176.535903
5.777039824101231, 5.777039824101231, 1586565176.543609, 1586565176.545984
