x,y,deg
-0.37227273,46.52409091,1.55709855
0.50363636,46.7,1.55261651
-0.09636364,46.1,1.55261651
0.05545455,46.1,1.54353036
0.15545455,46.1,1.54353036
-0.27227273,46.42409091,1.55709855
0.07954545,46.3,1.54807297
0.17954545,46.2,1.54807297
0.27954545,45.77590909,1.54817575
0.05181818,46.85181818,1.56178756
0.12772727,45.8,1.55716081
0.27954545,46.6,1.54807297
-0.34818182,45.87590909,1.5617468
-0.24818182,46.5,1.56170567
0.10363636,46,1.55261651
0.05181818,45.87590909,1.5617468
0.42772727,46.7,1.55716081
0.42772727,45.57590909,1.5572225
0.55181818,45.9,1.56170567
-0.04818182,46.5,1.56170567
