,X axis (cm),Y axis (cm),Orientation (deg)
1,0.1,44.7,1.0
2,0.2,45.9,1.0
3,-0.9,45.7,-0.4
4,0.6,45.9,1.8
5,0.6,45.5,1.0
6,-1.1,46.3,0.2
7,0.8,45.9,2.2
8,0.7,45.8,1.0
9,-0.3,45.1,0.6
10,-0.0,45.8,0.4
11,0.5,45.6,0.6
12,0.3,45.6,2.0
13,-0.3,46.0,0.6
14,0.4,45.0,1.2
15,0.2,46.6,-3.0
16,0.7,44.9,-1.2
17,-0.2,45.1,0.4
18,0.5,46.0,1.2
19,0.1,45.1,1.2
20,-0.9,46.9,-0.4
