x_cm,y_cm,orientation_deg
      16.46,      34.14,     -56.10
      16.61,      34.92,     -56.79
      16.36,      34.64,     -56.10
      16.92,      34.39,     -56.58
      15.96,      34.79,     -54.81
      16.23,      35.28,     -56.45
      16.30,      35.48,     -55.56
      14.95,      34.67,     -53.77
      15.39,      35.05,     -54.46
      15.40,      35.58,     -55.56
      14.32,      34.78,     -52.93
      14.97,      34.83,     -53.43
      15.55,      35.51,     -55.01
      15.29,      35.15,     -54.46
      14.69,      35.51,     -53.23
      15.09,      35.25,     -54.46
      13.76,      35.30,     -51.30
      15.39,      35.65,     -54.46
      15.46,      35.84,     -56.10
      14.49,      35.41,     -53.23
      15.66,      35.64,     -56.10
