x_front, y_front, x_back, y_back
-171, 464, 22, 328
-161, 447, 28, 306
-166, 452, 24, 312
-161, 454, 28, 314
-152, 462, 34, 316
-165, 458, 25, 316
-171, 454, 21, 317
-154, 457, 32, 311
-150, 465, 32, 318
-159, 452, 29, 310
-144, 452, 39, 302
-160, 460, 27, 318
-165, 461, 24, 318
-154, 464, 31, 320
-156, 458, 32, 311
-163, 468, 28, 328
-161, 464, 27, 318
-166, 465, 23, 325
-156, 462, 31, 315
-151, 460, 23, 311
