x_front, y_front, x_back, y_back
65, 592, 59, 351
40, 596, 47, 356
49, 597, 52, 355
48, 603, 51, 363
61, 591, 59, 350
50, 582, 58, 342
57, 593, 62, 352
56, 585, 60, 344
53, 592, 52, 350
58, 599, 55, 359
69, 599, 64, 358
66, 615, 69, 356
65, 593, 62, 351
69, 594, 64, 354
49, 592, 51, 357
61, 595, 60, 353
78, 597, 62, 373
76, 604, 67, 363
49, 592, 52, 350
50, 604, 55, 368

