robot_position_x, robot_position_y, robot_orientation
0.0, 0.0, 1.570796326794897
0.0, 0.0, 1.570796326794897
-0.0002985242462322304, 0.07330322072263912, 1.574868761716217
-0.002089654870817488, 0.2932074121706957, 1.578941196637537
-0.01154229556052669, 0.7573687517157667, 1.591158501401497
-0.01452733998885591, 0.903946016835263, 1.591158501401497
-0.01990025658654596, 1.123791856760816, 1.595230936322817
-0.02477550571016948, 1.29476462927825, 1.599303371244137
-0.03034698797131977, 1.465716129949432, 1.603375806165457
-0.03661461096861673, 1.636643523594451, 1.607448241086777
-0.04556788783732881, 1.856372675958561, 1.611520676008098
-0.05541592066221672, 2.076063544714678, 1.615593110929418
-0.06575995614717653, 2.271266541791902, 1.623737980772058
-0.07829121753712053, 2.490820701518642, 1.627810415693378
-0.09101927622153498, 2.685882757439753, 1.635955285536018
-0.1037473349059494, 2.880944813360864, 1.635955285536018
-0.121642802399375, 3.124634711636083, 1.644100155378658
-0.1348642117239131, 3.295165211347392, 1.648172590299978
-0.1515612450354169, 3.489927677486633, 1.656317460142619
-0.1712375514315756, 3.708957137906784, 1.660389895063939
-0.1872349812024876, 3.879249648714042, 1.664462329985259
-0.2086945816724409, 4.098111584904435, 1.668534764906579
-0.2260784758205961, 4.268268151690914, 1.672607199827899
-0.2475289961671966, 4.462564534351284, 1.680752069670539
-0.2669903958679819, 4.632496023246078, 1.684824504591859
-0.2871436672047381, 4.802346847944525, 1.688896939513179
-0.3117562391266582, 4.996268044417301, 1.69704180935582
-0.3363688110485783, 5.190189240890077, 1.69704180935582
-0.35859564600706, 5.35978117703105, 1.70111424427714
-0.3815129468668808, 5.52928118976738, 1.70518667919846
-0.4051203335514061, 5.698686467991651, 1.70925911411978
-0.4363594376784839, 5.916367840503577, 1.7133315490411
-0.4613458100095341, 6.085575222712657, 1.71740398396242
-0.4870210592923367, 6.25467944670065, 1.72147641888374
-0.5133847597105008, 6.42367770792418, 1.72554885380506
-0.5450867935115702, 6.616566769798929, 1.733693723647701
-0.5816350025205645, 6.833419922839351, 1.737766158569021
-0.6107480210710192, 7.001966323415562, 1.741838593490341
-0.640547190556381, 7.170392765800059, 1.745911028411661
-0.6710320167662664, 7.338696456690272, 1.749983463332981
-0.7058718181489928, 7.531043531993373, 1.749983463332981
-0.7570040884262053, 7.794915770421204, 1.762200768096941
-0.79419119408236, 7.986822852914171, 1.762200768096942
-0.8329401071963185, 8.178420689202925, 1.770345637939582
-0.8675278591336401, 8.345929329016631, 1.774418072860902
-0.9027974904059676, 8.513295723810298, 1.778490507782222
-0.938748416076931, 8.680517097861932, 1.782562942703542
-0.9798351882723178, 8.871627239635227, 1.782562942703542
-1.022477147669753, 9.062396399713036, 1.790707812546182
-1.060468333977387, 9.229166081487794, 1.794780247467502
-1.105437737978924, 9.419400047544835, 1.802925117310142
-1.139164790980076, 9.562075522087616, 1.802925117310142
-1.179190567334112, 9.728368619429544, 1.806997552231462
-1.22648070377597, 9.918038997014856, 1.815142422074103
-1.273770840217829, 10.10770937460017, 1.815142422074103
-1.322604231538418, 10.29698829321018, 1.823287291916743
-1.35922927502886, 10.43894748216769, 1.823287291916743
-1.402632609062623, 10.60439115110388, 1.827359726838063
-1.45377477663739, 10.79305934618138, 1.835504596680703
-1.499196096907175, 10.95796040943224, 1.839577031602023
-1.545288587519706, 11.12267513040595, 1.843649466523344
-1.597965719648313, 11.31092052580449, 1.843649466523343
-1.652174321806828, 11.49873063359974, 1.851794336365984
-1.700275692404847, 11.66286994986159, 1.855866771287304
-1.749045108965228, 11.82681201586259, 1.859939206208624
-1.798481762661668, 11.99055411267222, 1.864011641129944
-1.862899996727725, 12.20081907096329, 1.868084076051264
-1.905845486105096, 12.34099570982401, 1.868084076051264
-1.956614143344626, 12.5043297247701, 1.872156510972584
-2.008047544900303, 12.66745563381195, 1.876228945893904
-2.068345053648213, 12.8534003018636, 1.884373815736545
-2.121767526078683, 13.0158856748537, 1.888446250657864
-2.175851264789345, 13.178152141517, 1.892518685579184
-2.237661251887247, 13.36359953198935, 1.892518685579185
-2.292405359915346, 13.52564440118465, 1.896591120500505
-2.356476345037217, 13.71032281899128, 1.904735990343145
-2.413196069796252, 13.87168678590947, 1.908808425264465
-2.47057246665288, 14.03281842799154, 1.912880860185785
-2.536145491631884, 14.21696887608534, 1.912880860185785
-2.59417760901559, 14.37786552101083, 1.916953295107106
-2.680813704056661, 14.60633696630374, 1.933243034792385
-2.750122580089519, 14.78911412253806, 1.933243034792386
-2.820917836885667, 14.97132071065499, 1.941387904635026
-2.891713093681818, 15.15352729877192, 1.941387904635026
-2.954307699320316, 15.31270447157404, 1.945460339556346
-3.027323690681624, 15.49403255584002, 1.953605209398986
-3.100339682042932, 15.675360640106, 1.953605209398986
-3.155101675563914, 15.81135670330548, 1.953605209398986
-3.229592122354127, 15.99208407388072, 1.961750079241627
-3.295414721425387, 16.149953774735, 1.965822514162947
-3.372107555405534, 16.32975760771455, 1.973967384005586
-3.439853936381072, 16.48681137195162, 1.978039818926907
-3.517278371781688, 16.66630138822256, 1.978039818926907
-3.58566378044651, 16.82307795814951, 1.982112253848227
-3.665275267313924, 17.00160868462762, 1.990257123690867
-3.735570911838223, 17.15753808967115, 1.994329558612187
-3.80650098404543, 17.31317992804695, 1.998401993533508
-3.878064307581345, 17.46853161848129, 2.002474428454827
-3.961294313457083, 17.64540438421975, 2.010619298297468
-4.055737632064677, 17.84400327932172, 2.014691733218788
-4.129821987624007, 17.99816866213405, 2.018764168140108
-4.204533555603043, 18.15203106367006, 2.022836603061428
