motor_1_path_rad, motor_2_path_rad, time_motor_1, time_motor_2
0, 0, 1586568570.990146, 1586568570.992773
0.0, 0.0, 1586568571.015796, 1586568571.018221
0.01745329251994329, 0.03490658503988659, 1586568571.025893, 1586568571.02887
0.03490658503988659, 0.06981317007977318, 1586568571.036095, 1586568571.039791
0.06981317007977318, 0.1396263401595464, 1586568571.048873, 1586568571.051527
0.1221730476396031, 0.2094395102393195, 1586568571.059548, 1586568571.061431
0.1570796326794897, 0.2617993877991494, 1586568571.069516, 1586568571.071401
0.2094395102393195, 0.3141592653589793, 1586568571.079039, 1586568571.081343
0.2443460952792061, 0.3839724354387525, 1586568571.089049, 1586568571.090948
0.3141592653589793, 0.4537856055185257, 1586568571.100274, 1586568571.102304
0.3665191429188092, 0.5410520681182422, 1586568571.11025, 1586568571.112274
0.4188790204786391, 0.6108652381980153, 1586568571.12025, 1586568571.122317
0.4886921905584122, 0.6806784082777884, 1586568571.135023, 1586568571.141585
0.5759586531581288, 0.8028514559173916, 1586568571.150571, 1586568571.152609
0.6806784082777884, 0.9250245035569947, 1586568571.165863, 1586568571.169522
0.767944870877505, 1.047197551196598, 1586568571.176718, 1586568571.180537
0.8552113334772214, 1.151917306316258, 1586568571.190674, 1586568571.192717
0.9424777960769379, 1.256637061435917, 1586568571.202076, 1586568571.20474
0.9948376736367678, 1.361356816555577, 1586568571.212551, 1586568571.215661
1.082104136236484, 1.43116998663535, 1586568571.224589, 1586568571.23013
1.151917306316258, 1.553343034274953, 1586568571.237691, 1586568571.241435
1.221730476396031, 1.64060949687467, 1586568571.250405, 1586568571.25296
1.291543646475804, 1.727875959474386, 1586568571.264446, 1586568571.266472
1.361356816555577, 1.832595714594046, 1586568571.274823, 1586568571.276966
1.43116998663535, 1.902408884673819, 1586568571.285725, 1586568571.288751
1.48352986419518, 1.972222054753592, 1586568571.296101, 1586568571.300491
1.553343034274953, 2.076941809873252, 1586568571.30826, 1586568571.31102
1.605702911834783, 2.146754979953025, 1586568571.319409, 1586568571.321016
1.675516081914556, 2.234021442552742, 1586568571.329876, 1586568571.331743
1.727875959474386, 2.303834612632515, 1586568571.340028, 1586568571.342517
1.780235837034216, 2.373647782712288, 1586568571.35178, 1586568571.354084
1.850049007113989, 2.460914245312004, 1586568571.362115, 1586568571.364781
1.902408884673819, 2.548180707911721, 1586568571.374019, 1586568571.376407
1.954768762233649, 2.635447170511438, 1586568571.385754, 1586568571.389047
2.024581932313422, 2.705260340591211, 1586568571.396331, 1586568571.399713
2.094395102393195, 2.792526803190927, 1586568571.408279, 1586568571.410618
2.146754979953025, 2.879793265790644, 1586568571.420747, 1586568571.422745
2.234021442552742, 2.96705972839036, 1586568571.430945, 1586568571.432965
2.286381320112572, 3.036872898470133, 1586568571.440968, 1586568571.443987
2.338741197672401, 3.106686068549907, 1586568571.45275, 1586568571.459032
2.408554367752175, 3.211405823669566, 1586568571.467546, 1586568571.470282
2.478367537831948, 3.316125578789226, 1586568571.480124, 1586568571.483755
2.548180707911721, 3.420845333908886, 1586568571.492778, 1586568571.495809
2.600540585471551, 3.508111796508603, 1586568571.504783, 1586568571.506715
2.687807048071268, 3.595378259108319, 1586568571.514671, 1586568571.516631
2.740166925631097, 3.665191429188092, 1586568571.529716, 1586568571.532096
2.792526803190927, 3.769911184307752, 1586568571.539939, 1586568571.54184
2.8623399732707, 3.839724354387525, 1586568571.549928, 1586568571.552601
2.932153143350474, 3.909537524467298, 1586568571.560543, 1586568571.562558
2.984513020910303, 3.996803987067014, 1586568571.570456, 1586568571.57248
3.036872898470133, 4.084070449666731, 1586568571.580432, 1586568571.582448
3.106686068549907, 4.153883619746504, 1586568571.590367, 1586568571.592372
3.159045946109736, 4.223696789826278, 1586568571.600371, 1586568571.60238
