X axis (cm),Y axis (cm),Orientation (deg)
15.7,34.6,52.7
15.3,34.4,52.5
16.1,34.1,53.1
16.4,34.5,53.8
16,33.7,53.6
15.5,34.4,51.7
16.9,34.6,54.6
16.5,34.6,53.7
15.5,33.8,51.9
15.7,33.8,52.7
16.5,34.1,54.1
16.8,34,54.5
16.3,34.3,53.3
15.5,33.9,53.1
15,33.1,51.4
16.2,34.3,53.4
15.4,34.4,51.8
15.8,33.7,52.7
15.6,33.9,52.3
16.2,34,53.1
