X axis (cm),Y axis (cm),Orientation (deg)
0.1,44.7,1
0.2,45.9,1
-0.9,45.7,-0.4
0.6,45.9,1.8
0.6,45.5,1
-1.1,46.3,0.2
0.8,45.9,2.2
0.7,45.8,1
-0.3,45.1,0.6
0,45.8,0.4
0.5,45.6,0.6
0.3,45.6,2
-0.3,46,0.6
0.4,45,1.2
0.2,46.6,-3
0.7,44.9,-1.2
-0.2,45.1,0.4
0.5,46,1.2
0.1,45.1,1.2
-0.9,46.9,-0.4
