motor_1_path_rad, motor_2_path_rad, time_motor_1, time_motor_2
0, 0, 1586566564.549419, 1586566564.553761
0.0, 0.0, 1586566564.561988, 1586566564.563768
0.01745329251994329, 0.0, 1586566564.57167, 1586566564.573771
0.03490658503988659, 0.01745329251994329, 1586566564.581721, 1586566564.583663
0.08726646259971648, 0.05235987755982988, 1586566564.59167, 1586566564.593959
0.1396263401595464, 0.08726646259971648, 1586566564.6018, 1586566564.60389
0.1745329251994329, 0.1221730476396031, 1586566564.613011, 1586566564.615238
0.2617993877991494, 0.1745329251994329, 1586566564.623285, 1586566564.625483
0.3141592653589793, 0.2443460952792061, 1586566564.633491, 1586566564.635879
0.3839724354387525, 0.2792526803190927, 1586566564.643719, 1586566564.645934
0.4537856055185257, 0.3490658503988659, 1586566564.653672, 1586566564.656996
0.5235987755982988, 0.4014257279586958, 1586566564.663834, 1586566564.666518
0.5934119456780721, 0.4537856055185257, 1586566564.674011, 1586566564.676633
0.6632251157578452, 0.5061454830783556, 1586566564.683929, 1586566564.686615
0.7504915783575616, 0.5759586531581288, 1586566564.693734, 1586566564.701281
0.820304748437335, 0.6457718232379019, 1586566564.710844, 1586566564.712983
0.9424777960769379, 0.7330382858376185, 1586566564.720817, 1586566564.722983
1.029744258676654, 0.8028514559173916, 1586566564.730924, 1586566564.733066
1.117010721276371, 0.8726646259971648, 1586566564.740746, 1586566564.74282
1.186823891356144, 0.9250245035569947, 1586566564.750689, 1586566564.75275
1.274090353955861, 0.9773843811168245, 1586566564.761552, 1586566564.763649
1.37881010907552, 1.047197551196598, 1586566564.771956, 1586566564.773906
1.448623279155294, 1.117010721276371, 1586566564.781909, 1586566564.783881
1.53588974175501, 1.169370598836201, 1586566564.791906, 1586566564.793903
1.605702911834783, 1.239183768915974, 1586566564.801649, 1586566564.803727
1.6929693744345, 1.291543646475804, 1586566564.812894, 1586566564.815018
1.762782544514273, 1.343903524035634, 1586566564.822797, 1586566564.824709
1.832595714594046, 1.396263401595464, 1586566564.832564, 1586566564.834506
1.919862177193762, 1.466076571675237, 1586566564.841997, 1586566564.843912
1.989675347273536, 1.518436449235067, 1586566564.851763, 1586566564.85385
2.059488517353309, 1.570796326794897, 1586566564.862907, 1586566564.864976
2.129301687433082, 1.623156204354726, 1586566564.872657, 1586566564.874695
2.199114857512855, 1.675516081914556, 1586566564.882643, 1586566564.884674
2.268928027592628, 1.727875959474386, 1586566564.892661, 1586566564.894589
2.338741197672401, 1.780235837034216, 1586566564.902599, 1586566564.904557
2.426007660272118, 1.850049007113989, 1586566564.91333, 1586566564.915474
2.513274122871834, 1.902408884673819, 1586566564.923526, 1586566564.925738
2.583087292951608, 1.954768762233649, 1586566564.933548, 1586566564.935755
2.652900463031381, 2.024581932313422, 1586566564.943699, 1586566564.945903
2.722713633111154, 2.059488517353309, 1586566564.953611, 1586566564.955813
2.792526803190927, 2.111848394913139, 1586566564.964763, 1586566564.967114
2.879793265790644, 2.164208272472969, 1586566564.973998, 1586566564.976651
2.949606435870417, 2.234021442552742, 1586566564.983766, 1586566564.986478
