  'x (cm)',   'y(cm)',     'theta (deg)'
     -18.0,      35.7,     143.2
     -17.8,      36.0,     142.4
     -16.9,      36.5,     141.2
     -17.0,      36.4,     140.9
     -17.2,      36.4,     141.6
     -18.0,      36.5,     142.8
     -18.1,      36.5,     142.5
     -18.1,      35.9,     142.8
     -16.6,      37.1,     140.6
     -16.8,      35.9,     141.1
     -16.9,      36.3,     140.7
     -17.9,      36.0,     142.2
     -18.0,      36.3,     142.9
     -17.6,      36.2,     142.5
     -17.7,      36.5,     143.1
     -16.9,      36.1,     140.6
     -17.0,      36.3,     140.8
     -16.6,      35.3,     140.3
     -18.5,      35.6,     143.5
     -18.0,      35.9,     142.6
